City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Puerto Baquerizo Moreno,-0.9,-89.6,78.8,78,75,4.61,EC,1621115464
Saint Paul Harbor,57.79,-152.4072,46.4,76,90,9.22,US,1621115465
Rubiataba,-15.1644,-49.8033,71.55,49,100,2.84,BR,1621115465
Port Elizabeth,-33.918,25.5701,59.0,94,100,1.99,ZA,1621115465
Hohhot,40.8106,111.6522,41.0,93,0,4.47,CN,1621115166
Upernavik,72.7868,-56.1549,33.89,76,100,4.7,GL,1621115466
Moranbah,-22.0016,148.0466,56.17,47,0,13.06,AU,1621115466
Yumen,40.2833,97.2,54.0,31,79,7.31,CN,1621115467
Busselton,-33.65,115.3333,61.0,71,98,5.01,AU,1621115467
São Filipe,14.8961,-24.4956,73.6,72,35,10.71,CV,1621115467
Santa Marinella,42.0345,11.8536,54.0,77,100,4.0,IT,1621115468
Westport,41.1415,-73.3579,73.4,28,1,13.8,US,1621115284
Punta Arenas,-53.15,-70.9167,46.4,93,90,9.22,CL,1621115468
Torbay,47.6666,-52.7314,44.01,87,75,5.75,CA,1621115469
Kapaa,22.0752,-159.319,78.8,65,20,18.41,US,1621115190
São João da Barra,-21.6403,-41.0511,73.4,83,0,4.61,BR,1621115469
Palu,-0.8917,119.8707,76.19,96,99,2.53,ID,1621115470
Bluff,-46.6,168.3333,41.0,94,51,3.0,NZ,1621115470
Bethel,41.3712,-73.414,73.4,21,90,6.91,US,1621115470
Chadiza,-14.0678,32.4392,58.69,67,0,2.17,ZM,1621115471
Meulaboh,4.1363,96.1285,77.32,89,99,4.34,ID,1621115471
Wagar,16.1525,36.2032,91.69,10,42,6.06,SD,1621115471
Pochutla,15.7432,-96.4661,91.4,55,40,11.5,MX,1621115472
Atuona,-9.8,-139.0333,79.03,71,9,17.09,PF,1621115320
Port Blair,11.6667,92.75,84.09,75,92,2.86,IN,1621115472
Saint-Philippe,-21.3585,55.7679,75.2,69,20,11.5,RE,1621115473
Norman Wells,65.282,-126.8329,44.6,61,75,19.57,CA,1621115473
Hermanus,-34.4187,19.2345,54.0,96,100,8.34,ZA,1621115473
Albany,42.6001,-73.9662,73.4,23,1,9.22,US,1621115474
Tiksi,71.6872,128.8694,33.28,97,98,7.54,RU,1621115474
Qaanaaq,77.484,-69.3632,33.42,77,92,6.76,GL,1621115475
Ushuaia,-54.8,-68.3,44.6,65,20,5.75,AR,1621115475
Dingle,10.9995,122.6711,77.74,89,97,7.2,PH,1621115476
Andenes,69.3143,16.1194,42.8,81,90,23.02,NO,1621115476
Mataura,-46.1927,168.8643,41.0,94,84,3.0,NZ,1621115476
Sarakhs,36.5449,61.1577,66.2,32,0,2.3,IR,1621115477
Bredasdorp,-34.5322,20.0403,57.2,88,100,5.75,ZA,1621115477
East London,-33.0153,27.9116,65.39,79,94,5.77,ZA,1621115477
Oistins,13.0667,-59.5333,82.4,61,40,21.85,BB,1621115478
Beringovskiy,63.05,179.3167,32.14,96,100,8.7,RU,1621115479
Badhni Kalān,30.6833,75.2833,84.94,35,62,7.34,IN,1621115479
Yellowknife,62.456,-114.3525,35.01,86,90,8.05,CA,1621115479
Kavieng,-2.5744,150.7967,84.61,76,45,16.37,PG,1621115480
